date,away,home,gameid
20080329,HT,SS,HTSS0
20080329,LG,SK,LGSK0
20080329,LT,HH,LTHH0
20080330,LT,HH,LTHH0
20080330,HT,SS,HTSS0
20080330,WO,OB,WOOB0
20080330,LG,SK,LGSK0
20080401,HH,WO,HHWO0
20080401,OB,HT,OBHT0
20080401,SK,LT,SKLT0
20080401,SS,LG,SSLG0
20080402,SK,LT,SKLT0
20080402,SS,LG,SSLG0
20080402,HH,WO,HHWO0
20080402,OB,HT,OBHT0
20080403,HH,WO,HHWO0
20080403,OB,HT,OBHT0
20080403,SS,LG,SSLG0
20080403,SK,LT,SKLT0
20080404,WO,SS,WOSS0
20080404,LT,LG,LTLG0
20080404,OB,SK,OBSK0
20080404,HT,HH,HTHH0
20080405,HT,HH,HTHH0
20080405,WO,SS,WOSS0
20080405,LT,LG,LTLG0
20080405,OB,SK,OBSK0
20080406,OB,SK,OBSK0
20080406,HT,HH,HTHH0
20080406,WO,SS,WOSS0
20080406,LT,LG,LTLG0
20080408,LG,WO,LGWO0
20080408,LT,SS,LTSS0
20080408,SK,HT,SKHT0
20080408,HH,OB,HHOB0
20080409,LG,WO,LGWO0
20080409,HH,OB,HHOB0
20080410,LG,WO,LGWO0
20080410,LT,SS,LTSS0
20080410,SK,HT,SKHT0
20080410,HH,OB,HHOB0
20080411,HT,LT,HTLT0
20080411,SS,HH,SSHH0
20080411,SK,WO,SKWO0
20080411,LG,OB,LGOB0
20080412,SK,WO,SKWO0
20080412,LG,OB,LGOB0
20080412,HT,LT,HTLT0
20080412,SS,HH,SSHH0
20080413,SS,HH,SSHH0
20080413,HT,LT,HTLT0
20080413,SK,WO,SKWO0
20080413,LG,OB,LGOB0
20080415,HT,LG,HTLG0
20080415,SS,SK,SSSK0
20080415,OB,LT,OBLT0
20080415,WO,HH,WOHH0
20080416,WO,HH,WOHH0
20080416,HT,LG,HTLG0
20080416,SS,SK,SSSK0
20080417,WO,HH,WOHH0
20080417,HT,LG,HTLG0
20080417,SS,SK,SSSK0
20080418,HH,HT,HHHT0
20080418,LG,SS,LGSS0
20080418,LT,WO,LTWO0
20080418,SK,OB,SKOB0
20080419,HH,HT,HHHT0
20080419,LG,SS,LGSS0
20080419,LT,WO,LTWO0
20080419,SK,OB,SKOB0
20080420,HH,HT,HHHT0
20080420,LG,SS,LGSS0
20080420,LT,WO,LTWO0
20080420,SK,OB,SKOB0
20080422,HH,LG,HHLG0
20080422,WO,HT,WOHT0
20080422,OB,SS,OBSS0
20080423,OB,SS,OBSS0
20080423,WO,HT,WOHT0
20080423,HH,LG,HHLG0
20080423,LT,SK,LTSK0
20080424,OB,SS,OBSS0
20080424,WO,HT,WOHT0
20080424,HH,LG,HHLG0
20080424,LT,SK,LTSK0
20080425,WO,LG,WOLG0
20080425,HT,SK,HTSK0
20080425,SS,LT,SSLT0
20080425,OB,HH,OBHH0
20080426,OB,HH,OBHH0
20080426,SS,LT,SSLT0
20080426,HT,SK,HTSK0
20080426,WO,LG,WOLG0
20080427,SS,LT,SSLT0
20080427,WO,LG,WOLG0
20080427,HT,SK,HTSK0
20080427,OB,HH,OBHH0
20080429,WO,SS,WOSS0
20080429,HT,OB,HTOB0
20080429,LG,LT,LGLT0
20080429,SK,HH,SKHH0
20080430,SK,HH,SKHH0
20080430,LG,LT,LGLT0
20080430,HT,OB,HTOB0
20080430,WO,SS,WOSS0
20080501,WO,SS,WOSS0
20080501,HT,OB,HTOB0
20080501,LG,LT,LGLT0
20080501,SK,HH,SKHH0
20080503,OB,LG,OBLG0
20080503,HH,SS,HHSS0
20080503,LT,HT,LTHT0
20080503,WO,SK,WOSK0
20080504,OB,LG,OBLG0
20080504,WO,SK,WOSK0
20080504,HH,SS,HHSS0
20080505,LT,HT,LTHT0
20080505,WO,SK,WOSK0
20080505,OB,LG,OBLG0
20080505,HH,SS,HHSS0
20080506,SK,LG,SKLG0
20080506,HH,LT,HHLT0
20080506,OB,WO,OBWO0
20080506,SS,HT,SSHT0
20080507,OB,WO,OBWO0
20080507,SS,HT,SSHT0
20080507,SK,LG,SKLG0
20080507,HH,LT,HHLT0
20080508,OB,WO,OBWO0
20080508,SS,HT,SSHT0
20080508,SK,LG,SKLG0
20080508,HH,LT,HHLT0
20080509,HT,WO,HTWO0
20080509,SK,SS,SKSS0
20080509,LT,OB,LTOB0
20080509,LG,HH,LGHH0
20080510,LG,HH,LGHH0
20080510,LT,OB,LTOB0
20080510,HT,WO,HTWO0
20080510,SK,SS,SKSS0
20080511,SK,SS,SKSS0
20080511,LG,HH,LGHH0
20080511,HT,WO,HTWO0
20080511,LT,OB,LTOB0
20080513,SS,LT,SSLT0
20080513,WO,LG,WOLG0
20080513,OB,SK,OBSK0
20080513,HT,HH,HTHH0
20080514,HT,HH,HTHH0
20080514,SS,LT,SSLT0
20080514,WO,LG,WOLG0
20080514,OB,SK,OBSK0
20080515,HT,HH,HTHH0
20080515,OB,SK,OBSK0
20080515,WO,LG,WOLG0
20080515,SS,LT,SSLT0
20080516,LG,HT,LGHT0
20080516,SS,OB,SSOB0
20080516,HH,SK,HHSK0
20080516,WO,LT,WOLT0
20080517,WO,LT,WOLT0
20080517,LG,HT,LGHT0
20080517,SS,OB,SSOB0
20080517,HH,SK,HHSK0
20080518,LG,HT,LGHT0
20080518,WO,LT,WOLT0
20080520,SK,WO,SKWO0
20080520,HH,OB,HHOB0
20080520,LG,SS,LGSS0
20080520,LT,HT,LTHT0
20080521,LG,SS,LGSS0
20080521,LT,HT,LTHT0
20080521,SK,WO,SKWO0
20080521,HH,OB,HHOB0
20080522,HH,OB,HHOB0
20080522,SK,WO,SKWO0
20080522,LG,SS,LGSS0
20080522,LT,HT,LTHT0
20080523,HT,LG,HTLG0
20080523,LT,SK,LTSK0
20080523,SS,HH,SSHH0
20080524,HT,LG,HTLG0
20080524,LT,SK,LTSK0
20080524,SS,HH,SSHH0
20080525,HT,LG,HTLG0
20080525,LT,SK,LTSK0
20080525,SS,HH,SSHH0
20080525,OB,WO,OBWO0
20080527,SK,HT,SKHT0
20080527,SS,WO,SSWO0
20080527,OB,LG,OBLG0
20080527,HH,LT,HHLT0
20080528,SS,WO,SSWO0
20080528,OB,LG,OBLG0
20080529,SK,HT,SKHT0
20080529,SS,WO,SSWO0
20080529,OB,LG,OBLG0
20080529,HH,LT,HHLT0
20080530,LG,HH,LGHH0
20080530,HT,OB,HTOB0
20080530,LT,WO,LTWO0
20080530,SK,SS,SKSS0
20080531,LT,WO,LTWO0
20080531,SK,SS,SKSS0
20080531,HT,OB,HTOB0
20080531,LG,HH,LGHH0
20080601,LG,HH,LGHH0
20080601,LT,WO,LTWO0
20080601,SK,SS,SKSS0
20080601,HT,OB,HTOB0
20080603,OB,LT,OBLT0
20080603,HH,HT,HHHT0
20080603,SS,LG,SSLG0
20080604,HH,HT,HHHT0
20080605,OB,LT,OBLT0
20080605,SS,LG,SSLG0
20080605,HH,HT,HHHT0
20080605,WO,SK,WOSK0
20080606,SK,LT,SKLT0
20080606,SS,HT,SSHT0
20080606,LG,OB,LGOB0
20080606,WO,HH,WOHH0
20080607,SK,LT,SKLT0
20080607,SS,HT,SSHT0
20080607,LG,OB,LGOB0
20080607,WO,HH,WOHH0
20080608,SS,HT,SSHT0
20080608,SK,LT,SKLT0
20080610,LG,SK,LGSK0
20080610,LT,OB,LTOB0
20080610,HH,SS,HHSS0
20080610,HT,WO,HTWO0
20080611,HH,SS,HHSS0
20080611,HT,WO,HTWO0
20080611,LT,OB,LTOB0
20080611,LG,SK,LGSK0
20080612,HH,SS,HHSS0
20080612,HT,WO,HTWO0
20080612,LT,OB,LTOB0
20080612,LG,SK,LGSK0
20080613,WO,LT,WOLT0
20080613,OB,SS,OBSS0
20080613,HH,LG,HHLG0
20080613,HT,SK,HTSK0
20080614,HT,SK,HTSK0
20080614,WO,LT,WOLT0
20080614,OB,SS,OBSS0
20080614,HH,LG,HHLG0
20080615,HT,SK,HTSK0
20080615,HH,LG,HHLG0
20080615,WO,LT,WOLT0
20080615,OB,SS,OBSS0
20080617,LG,HT,LGHT0
20080617,SS,WO,SSWO0
20080617,SK,OB,SKOB0
20080617,LT,HH,LTHH0
20080619,LG,HT,LGHT0
20080619,SS,WO,SSWO0
20080619,SK,OB,SKOB0
20080619,LT,HH,LTHH0
20080620,HH,WO,HHWO0
20080620,OB,HT,OBHT0
20080620,LT,LG,LTLG0
20080620,SS,SK,SSSK0
20080621,SS,SK,SSSK0
20080621,LT,LG,LTLG0
20080621,OB,HT,OBHT0
20080621,HH,WO,HHWO0
20080622,HH,WO,HHWO0
20080622,OB,HT,OBHT0
20080622,LT,LG,LTLG0
20080622,SS,SK,SSSK0
20080624,LG,SS,LGSS0
20080624,SK,LT,SKLT0
20080624,WO,OB,WOOB0
20080624,HT,HH,HTHH0
20080625,LG,SS,LGSS0
20080625,SK,LT,SKLT0
20080625,WO,OB,WOOB0
20080625,HT,HH,HTHH0
20080626,HT,HH,HTHH0
20080626,WO,OB,WOOB0
20080626,SK,LT,SKLT0
20080626,LG,SS,LGSS0
20080627,LG,WO,LGWO0
20080627,SS,OB,SSOB0
20080627,HH,SK,HHSK0
20080627,HT,LT,HTLT0
